UniProtID	Accessions	kinase	networkin_id	psp_id	netphorest_group	ECs	gene_names	Descriptions
KGP1	Q13976-2	PKG1 iso2 (PSP)		PKG1 iso2			PRKG1;PRKG1B;PRKGR1A;PRKGR1B	EC 2.7.11.12;cGK 1;cGK1;cGMP-dependent protein kinase I;cGKI;Isoform Beta of cGMP-dependent protein kinase 1
KGP1_HUMAN	Q13976	PKG1/cGK-I	PKG1cGKI	PKG1	PKGcGK_group	2.7.11.12	PRKG1;PRKG1B;PRKGR1A;PRKGR1B	EC 2.7.11.12;cGMP-dependent protein kinase 1;cGK 1;cGK1;cGMP-dependent protein kinase I;cGKI;Isoform 3 of cGMP-dependent protein kinase 1
KGP2_HUMAN	Q13237	PKG2/cGK-II	PKG2cGKII	PKG2	PKGcGK_group	2.7.11.12	PRKG2;PRKGR2	cGMP-dependent protein kinase 2;cGK 2;cGK2;EC 2.7.11.12;cGMP-dependent protein kinase II;cGKII;Isoform 2 of cGMP-dependent protein kinase 2
KIT_HUMAN	P10721	Kit	Kit	Kit	FLT3_CSF1R_Kit_PDGFR_group	2.7.10.1	KIT;SCFR	EC 2.7.10.1;SCFR;Mast/stem cell growth factor receptor Kit;Piebald trait protein;PBT;Proto-oncogene c-Kit;Tyrosine-protein kinase Kit;p145 c-kit;v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog;CD117
KKCC1_HUMAN	Q8N5S9	CaM-KK_alpha	CaM-KK_alpha	CAMKK1		2.7.11.17	CAMKK1;CAMKKA	Calcium/calmodulin-dependent protein kinase kinase 1;CaM-KK 1;CaM-kinase kinase 1;CaMKK 1;EC 2.7.11.17;CaM-kinase IV kinase;Calcium/calmodulin-dependent protein kinase kinase alpha;CaM-KK alpha;CaM-kinase kinase alpha;CaMKK alpha
KKCC2_HUMAN	Q96RR4	CAMKK2 (PSP)		CAMKK2		2.7.11.17	CAMKK2;CAMKKB;KIAA0787	EC 2.7.11.17;Calcium/calmodulin-dependent protein kinase kinase 2;CaM-KK 2;CaM-kinase kinase 2;CaMKK 2;Calcium/calmodulin-dependent protein kinase kinase beta;CaM-KK beta;CaM-kinase kinase beta;CaMKK beta;Isoform 5 of Calcium/calmodulin-dependent protein kinase kinase 2
KPB1_HUMAN	P46020	PHKA1 (PSP)		PHKA1			PHKA1;PHKA	"Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform;Phosphorylase kinase alpha M subunit"
KPCA_HUMAN	P17252	PKC_alpha	PKCalpha	PKCA	PKC_group	2.7.11.13	PRKACA;PRKCA;PKCA	EC 2.7.11.13;Protein kinase C alpha type;PKC-A;PKC-alpha
KPCB_HUMAN	P05771	PKC_beta	PKCbeta	PKCB iso2	PKC_group	2.7.11.13	PRKCB;PKCB;PRKCB1	2.7.11.13;Protein kinase C beta type;PKC-B;PKC-beta;Isoform Beta-II of Protein kinase C beta type
KPCD1_HUMAN	Q15139	PKD1	PKD1	PRKD1	PKD_group	2.7.11.13	PRKD1;PKD;PKD1;PRKCM	EC 2.7.11.13;Serine/threonine-protein kinase D1;Protein kinase C mu type;Protein kinase D;nPKC-D1;nPKC-mu
KPCD2_HUMAN	Q9BZL6	PKD2	PKD2	PRKD2	PKD_group	2.7.11.13	PRKD2;PKD2;HSPC187	2.7.11.13;Serine/threonine-protein kinase D2;nPKC-D2;Isoform 3 of Serine/threonine-protein kinase D2
KPCD3_HUMAN	O94806	PKD3 (NetworKIN)	PKD3	PRKD3	PKD_group	2.7.11.13	PRKD3;EPK2;PRKCN	Serine/threonine-protein kinase D3;EC 2.7.11.13;Protein kinase C nu type;Protein kinase EPK2;nPKC-nu
KPCD_HUMAN	Q05655	PKC_delta	PKCdelta	PKCD	PKC_group	2.7.10.2;2.7.11.13	PRKCD;PKCD	2.7.11.13;EC 2.7.10.2;Protein kinase C delta type;Tyrosine-protein kinase PRKCD;nPKC-delta;Protein kinase C delta type regulatory subunit;Protein kinase C delta type catalytic subunit;Sphingosine-dependent protein kinase-1;SDK1
KPCE_HUMAN	Q02156	PKC_epsilon	PKCepsilon	PKCE	PKC_group	2.7.11.13	PRKCE;PKCE	2.7.11.13;Protein kinase C epsilon type;nPKC-epsilon
KPCG_HUMAN	P05129	PKC_gamma	PKCgamma	PKCG	PKC_group	2.7.11.13	PRKCG;PKCG	EC 2.7.11.13;Protein kinase C gamma type;PKC-gamma;Isoform 2 of Protein kinase C gamma type
KPCI_HUMAN	P41743	PKC_iota	PKCiota	PKCI	PKC_group	2.7.11.13	PRKCI;DXS1179E	EC 2.7.11.13;Protein kinase C iota type;Atypical protein kinase C-lambda/iota;PRKC-lambda/iota;aPKC-lambda/iota;nPKC-iota
KPCL_HUMAN	P24723	PKC_eta	PKCeta	PKCH	PKC_group	2.7.11.13	PRKCH;PKCL;PRKCL	Protein kinase C eta type;2.7.11.13;PKC-L;nPKC-eta;Isoform 2 of Protein kinase C eta type
KPCT_HUMAN	Q04759	PKC_theta	PKCtheta	PKCT	PKC_group	2.7.11.13	PRKCQ;PRKCT	2.7.11.13;Protein kinase C theta type;nPKC-theta;Isoform 2 of Protein kinase C theta type
KPCZ_HUMAN	Q05513	PKC_zeta	PKCzeta	PKCZ	PKC_group	2.7.11.13	PRKCZ;PKC2	2.7.11.13;Protein kinase C zeta type;nPKC-zeta;Isoform 2 of Protein kinase C zeta type
KPYM_HUMAN	P14618	PKM (PSP)		PKM		2.7.1.40;2.7.10.2;2.7.11.1	PKM;OIP3;PK2;PK3;PKM2	2.7.11.1;Pyruvate kinase PKM;2.7.1.40;Cytosolic thyroid hormone-binding protein;CTHBP;Opa-interacting protein 3;OIP-3;Pyruvate kinase 2/3;Pyruvate kinase muscle isozyme;Threonine-protein kinase PKM2;Thyroid hormone-binding protein 1;THBP1;Tumor M2-PK;Tyrosine-protein kinase PKM2;2.7.10.2;p58;Isoform 3 of Pyruvate kinase PKM
KS6A1_HUMAN	Q15418	RSK-1	RSK-1	p90RSK		2.7.11.1	RPS6KA1;MAPKAPK1A;RSK1	EC 2.7.11.1;Ribosomal protein S6 kinase alpha-1;S6K-alpha-1;90 kDa ribosomal protein S6 kinase 1;p90-RSK 1;p90RSK1;p90S6K;MAP kinase-activated protein kinase 1a;MAPK-activated protein kinase 1a;MAPKAP kinase 1a;MAPKAPK-1a;Ribosomal S6 kinase 1;RSK-1
KS6A2_HUMAN	Q15349	RSK-3	RSK3	RSK3	RSK_group	2.7.11.1	RPS6KA2;MAPKAPK1C;RSK3	EC 2.7.11.1;Ribosomal protein S6 kinase alpha-2;S6K-alpha-2;90 kDa ribosomal protein S6 kinase 2;p90-RSK 2;p90RSK2;MAP kinase-activated protein kinase 1c;MAPK-activated protein kinase 1c;MAPKAP kinase 1c;MAPKAPK-1c;Ribosomal S6 kinase 3;RSK-3;pp90RSK3
KS6A3_HUMAN	P51812	RSK-2	RSK2	RSK2	RSK_group	2.7.11.1	RPS6KA3;ISPK1;MAPKAPK1B;RSK2	2.7.11.1;Ribosomal protein S6 kinase alpha-3;S6K-alpha-3;90 kDa ribosomal protein S6 kinase 3;p90-RSK 3;p90RSK3;Insulin-stimulated protein kinase 1;ISPK-1;MAP kinase-activated protein kinase 1b;MAPK-activated protein kinase 1b;MAPKAP kinase 1b;MAPKAPK-1b;Ribosomal S6 kinase 2;RSK-2;pp90RSK2
KS6A4_HUMAN	O75676	MSK2 (PSP)		MSK2		2.7.11.1	RPS6KA4;MSK2	EC 2.7.11.1;Ribosomal protein S6 kinase alpha-4;S6K-alpha-4;90 kDa ribosomal protein S6 kinase 4;Nuclear mitogen- and stress-activated protein kinase 2;Ribosomal protein kinase B;RSKB
KS6A5_HUMAN	O75582	RSK-5	RSK-5	MSK1		2.7.11.1	RPS6KA5;MSK1	EC 2.7.11.1;Ribosomal protein S6 kinase alpha-5;S6K-alpha-5;90 kDa ribosomal protein S6 kinase 5;Nuclear mitogen- and stress-activated protein kinase 1;RSK-like protein kinase;RSKL
KS6B1	P23443-2	p70S6K iso2 (PSP)		p70S6K iso2			RPS6KB1;STK14A	2.7.11.1;S6K-beta-1;S6K1;70 kDa ribosomal protein S6 kinase 1;P70S6K1;p70-S6K 1;Ribosomal protein S6 kinase I;Serine/threonine-protein kinase 14A;p70 ribosomal S6 kinase alpha;p70 S6 kinase alpha;p70 S6K-alpha;p70 S6KA;Isoform Alpha II of Ribosomal protein S6 kinase beta-1;Isoform 2 of Ribosomal protein S6 kinase beta-1;Isoform 3 of Ribosomal protein S6 kinase beta-1
KS6B1_HUMAN	P23443	p70S6K	p70S6K	p70S6K	p70S6K_group	2.7.11.1	RPS6KB1;STK14A	2.7.11.1;Ribosomal protein S6 kinase beta-1;S6K-beta-1;S6K1;70 kDa ribosomal protein S6 kinase 1;P70S6K1;p70-S6K 1;Ribosomal protein S6 kinase I;Serine/threonine-protein kinase 14A;p70 ribosomal S6 kinase alpha;p70 S6 kinase alpha;p70 S6K-alpha;p70 S6KA;Isoform 4 of Ribosomal protein S6 kinase beta-1
KS6B2_HUMAN	Q9UBS0	p70S6Kb	p70S6Kb	P70S6KB	p70S6K_group	2.7.11.1	RPS6KB2;STK14B	EC 2.7.11.1;SRK;Ribosomal protein S6 kinase beta-2;S6K-beta-2;S6K2;70 kDa ribosomal protein S6 kinase 2;P70S6K2;p70-S6K 2;S6 kinase-related kinase;Serine/threonine-protein kinase 14B;p70 ribosomal S6 kinase beta;S6K-beta;p70 S6 kinase beta;p70 S6K-beta;p70 S6KB;p70-beta;Isoform 2 of Ribosomal protein S6 kinase beta-2
KSR1_HUMAN	Q8IVT5	KSR1	KSR1	KSR		2.7.11.1	KSR1;KSR	2.7.11.1;Kinase suppressor of Ras 1;Isoform 4 of Kinase suppressor of Ras 1
KSYK_HUMAN	P43405	SYK	SYK	Syk		2.7.10.2	SYK	2.7.10.2;Tyrosine-protein kinase SYK;Spleen tyrosine kinase;p72-Syk;Isoform Short of Tyrosine-protein kinase SYK
LATS1_HUMAN	O95835	LATS1 (PSP)		LATS1		2.7.11.1	LATS1;WARTS	2.7.11.1;Serine/threonine-protein kinase LATS1;Large tumor suppressor homolog 1;WARTS protein kinase;h-warts
LATS2_HUMAN	Q9NRM7	LATS2 (PSP)		LATS2		2.7.11.1	LATS2;KPM	EC 2.7.11.1;Serine/threonine-protein kinase LATS2;Kinase phosphorylated during mitosis protein;Large tumor suppressor homolog 2;Serine/threonine-protein kinase kpm;Warts-like kinase
LCK_HUMAN	P06239	Lck	Lck	Lck	Src_group	2.7.10.2	LCK	EC 2.7.10.2;Tyrosine-protein kinase Lck;Leukocyte C-terminal Src kinase;LSK;Lymphocyte cell-specific protein-tyrosine kinase;Protein YT16;Proto-oncogene Lck;T cell-specific protein-tyrosine kinase;p56-LCK;Isoform 3 of Tyrosine-protein kinase Lck
LIMK1_HUMAN	P53667	LIMK1	LIMK1	LIMK1		2.7.11.1	LIMK1;LIMK	2.7.11.1;LIM domain kinase 1;LIMK-1;Isoform 2 of LIM domain kinase 1
LIMK2_HUMAN	P53671	LIMK2	LIMK2	LIMK2		2.7.11.1	LIMK2	2.7.11.1;LIM domain kinase 2;LIMK-2;Isoform 3 of LIM domain kinase 2
LMTK2_HUMAN	Q8IWU2	Lmr2 (PSP)		Lmr2		2.7.11.1	LMTK2;AATYK2;BREK;KIAA1079;KPI2;LMR2	EC 2.7.11.1;Serine/threonine-protein kinase LMTK2;Apoptosis-associated tyrosine kinase 2;Brain-enriched kinase;hBREK;CDK5/p35-regulated kinase;CPRK;Kinase/phosphatase/inhibitor 2;Lemur tyrosine kinase 2;Serine/threonine-protein kinase KPI-2
LRRK1_HUMAN	Q38SD2	LRRK1 (PSP)		LRRK1		2.7.11.1	LRRK1;KIAA1790	Leucine-rich repeat serine/threonine-protein kinase 1;EC 2.7.11.1;Isoform 2 of Leucine-rich repeat serine/threonine-protein kinase 1
LRRK2_HUMAN	Q5S007	LRRK2	LRRK2	LRRK2		2.7.11.1	LRRK2;PARK8	2.7.11.1;3.6.5.-;Leucine-rich repeat serine/threonine-protein kinase 2;Dardarin
LTK_HUMAN	P29376	LTK (PSP)		LTK		2.7.10.1	LTK;TYK1	2.7.10.1;Leukocyte tyrosine kinase receptor;Protein tyrosine kinase 1
LYN_HUMAN	P07948	Lyn	Lyn	LYN	Src_group	2.7.10.2	LYN;JTK8	EC 2.7.10.2;Tyrosine-protein kinase Lyn;Lck/Yes-related novel protein tyrosine kinase;V-yes-1 Yamaguchi sarcoma viral related oncogene homolog;p53Lyn;p56Lyn
M3K10_HUMAN	Q02779	MLK2 (PSP)		MLK2		2.7.11.25	MST;MAP3K10;MLK2	EC 2.7.11.25;Mitogen-activated protein kinase kinase kinase 10;Mixed lineage kinase 2;Protein kinase MST
M3K11_HUMAN	Q16584	MAP3K11	MAP3K11	MLK3		2.7.11.25	MAP3K11;MLK3;PTK1;SPRK	EC 2.7.11.25;Mitogen-activated protein kinase kinase kinase 11;Mixed lineage kinase 3;Src-homology 3 domain-containing proline-rich kinase;Isoform 2 of Mitogen-activated protein kinase kinase kinase 11
M3K12_HUMAN	Q12852	DLK (PSP)		DLK		2.7.11.25	MAP3K12;ZPK	Mixed lineage kinase;2.7.11.25;DLK;ZPK;Mitogen-activated protein kinase kinase kinase 12;Dual leucine zipper bearing kinase;Leucine-zipper protein kinase;MAPK-upstream kinase;MUK;Isoform 2 of Mitogen-activated protein kinase kinase kinase 12
M3K13_HUMAN	O43283	LZK (PSP)		LZK		2.7.11.25	MAP3K13;LZK	EC 2.7.11.25;Mitogen-activated protein kinase kinase kinase 13;Leucine zipper-bearing kinase;Mixed lineage kinase;MLK;Isoform 5 of Mitogen-activated protein kinase kinase kinase 13
M3K14_HUMAN	Q99558	MAP3K14	MAP3K14	Nik		2.7.11.25	MAP3K14;NIK	EC 2.7.11.25;Mitogen-activated protein kinase kinase kinase 14;NF-kappa-beta-inducing kinase;HsNIK;Serine/threonine-protein kinase NIK
M3K1_HUMAN	Q13233	MAP3K1	MAP3K1	MEKK1		2.7.11.25	MAP3K1;MAPKKK1;MEKK;MEKK1	EC 2.7.11.25;Mitogen-activated protein kinase kinase kinase 1;MAPK/ERK kinase kinase 1;MEK kinase 1;MEKK 1
M3K20_HUMAN	Q9NYL2	ZAK (PSP)		ZAK		2.7.11.25	MAP3K20;MLTK;HCCS4	EC 2.7.11.25;Mitogen-activated protein kinase kinase kinase 20;Human cervical cancer suppressor gene 4 protein;HCCS-4;Leucine zipper- and sterile alpha motif-containing kinase;MLK-like mitogen-activated protein triple kinase;Mitogen-activated protein kinase kinase kinase MLT;Mixed lineage kinase-related kinase;MLK-related kinase;MRK;Sterile alpha motif- and leucine zipper-containing kinase AZK;Isoform 2 of Mitogen-activated protein kinase kinase kinase 20
M3K2_HUMAN	Q9Y2U5	MEKK2 (PSP)		MEKK2		2.7.11.25	MAP3K2;MAPKKK2;MEKK2	Mitogen-activated protein kinase kinase kinase 2;EC 2.7.11.25;MAPK/ERK kinase kinase 2;MEK kinase 2;MEKK 2
M3K3_HUMAN	Q99759	MEKK3 (PSP)		MEKK3		2.7.11.25	MAP3K3;MAPKKK3;MEKK3	EC 2.7.11.25;Mitogen-activated protein kinase kinase kinase 3;MAPK/ERK kinase kinase 3;MEK kinase 3;MEKK 3;Isoform 2 of Mitogen-activated protein kinase kinase kinase 3
M3K4_HUMAN	Q9Y6R4	MEKK4 (PSP)		MEKK4		2.7.11.25	MAP3K4;KIAA0213;MAPKKK4;MEKK4;MTK1	EC 2.7.11.25;Mitogen-activated protein kinase kinase kinase 4;MAP three kinase 1;MAPK/ERK kinase kinase 4;MEK kinase 4;MEKK 4;Isoform 2 of Mitogen-activated protein kinase kinase kinase 4
M3K5_HUMAN	Q99683	MAP3K5	MAP3K5	ASK1		2.7.11.25	MAP3K5;ASK1;MAPKKK5;MEKK5	Mitogen-activated protein kinase kinase kinase 5;2.7.11.25;Apoptosis signal-regulating kinase 1;ASK-1;MAPK/ERK kinase kinase 5;MEK kinase 5;MEKK 5
M3K6_HUMAN	O95382	MEKK6 (PSP)		MEKK6		2.7.11.25	MAP3K6;ASK2;MAPKKK6;MEKK6	EC 2.7.11.25;Mitogen-activated protein kinase kinase kinase 6;Apoptosis signal-regulating kinase 2
M3K7_HUMAN	O43318	MAP3K7	MAP3K7	TAK1		2.7.11.25	TAK1;MAP3K7	2.7.11.25;Mitogen-activated protein kinase kinase kinase 7;Transforming growth factor-beta-activated kinase 1;TGF-beta-activated kinase 1;Isoform 1C of Mitogen-activated protein kinase kinase kinase 7
M3K8_HUMAN	P41279	MAP3K8	MAP3K8	Cot		2.7.11.25	COT;MAP3K8;ESTF	EC 2.7.11.25;Mitogen-activated protein kinase kinase kinase 8;Cancer Osaka thyroid oncogene;Proto-oncogene c-Cot;Serine/threonine-protein kinase cot;Tumor progression locus 2;TPL-2;Isoform 2 of Mitogen-activated protein kinase kinase kinase 8
M4K1_HUMAN	Q92918	MAP4K1	MAP4K1	HPK1		2.7.11.1	MAP4K1;HPK1	Mitogen-activated protein kinase kinase kinase kinase 1;2.7.11.1;Hematopoietic progenitor kinase;MAPK/ERK kinase kinase kinase 1;MEK kinase kinase 1;MEKKK 1
M4K2_HUMAN	Q12851	MAP4K2	MAP4K2	GCK		2.7.11.1	MAP4K2;GCK;RAB8IP	EC 2.7.11.1;Mitogen-activated protein kinase kinase kinase kinase 2;B lymphocyte serine/threonine-protein kinase;Germinal center kinase;GC kinase;MAPK/ERK kinase kinase kinase 2;MEK kinase kinase 2;MEKKK 2;Rab8-interacting protein;Isoform 2 of Mitogen-activated protein kinase kinase kinase kinase 2
M4K3_HUMAN	Q8IVH8	KHS2 (PSP)		KHS2		2.7.11.1	MAP4K3;RAB8IPL1	EC 2.7.11.1;Mitogen-activated protein kinase kinase kinase kinase 3;Germinal center kinase-related protein kinase;GLK;MAPK/ERK kinase kinase kinase 3;MEK kinase kinase 3;MEKKK 3
M4K4_HUMAN	O95819	MAP4K4 (NetworKIN)	MAP4K4	HGK	MSN_group	2.7.11.1	MAP4K4;HGK;KIAA0687;NIK	EC 2.7.11.1;Mitogen-activated protein kinase kinase kinase kinase 4;HPK/GCK-like kinase HGK;MAPK/ERK kinase kinase kinase 4;MEK kinase kinase 4;MEKKK 4;Nck-interacting kinase;Isoform 2 of Mitogen-activated protein kinase kinase kinase kinase 4
M4K5_HUMAN	Q9Y4K4	KHS1 (PSP)		KHS1		2.7.11.1	MAP4K5	EC 2.7.11.1;Mitogen-activated protein kinase kinase kinase kinase 5;Kinase homologous to SPS1/STE20;KHS;MAPK/ERK kinase kinase kinase 5;MEK kinase kinase 5;MEKKK 5
MAK_HUMAN	P20794	MAK (NetworKIN)	MAK	MAK	RCK_group	2.7.11.1	MAK	2.7.11.1;Serine/threonine-protein kinase MAK;Male germ cell-associated kinase
MAPK2_HUMAN	P49137	MAPKAPK2	MAPKAPK2	MAPKAPK2		2.7.11.1	MAPKAPK2	EC 2.7.11.1;MAP kinase-activated protein kinase 2;MAPK-activated protein kinase 2;MAPKAP kinase 2;MAPKAP-K2;MAPKAPK-2;MK-2;MK2;Isoform 2 of MAP kinase-activated protein kinase 2
MAPK3_HUMAN	Q16644	MAPK3	MAPK3	MAPKAPK3	MAPK3_MAPK1_MAPK7_NLK_group	2.7.11.1	MAPKAPK3	EC 2.7.11.1;MAP kinase-activated protein kinase 3;MAPK-activated protein kinase 3;MAPKAP kinase 3;MAPKAP-K3;MAPKAPK-3;MK-3;Chromosome 3p kinase;3pK
MAPK3_HUMAN	Q16644	MAPKAPK3 (NetworKIN)	MAPKAPK3	MAPKAPK3	MAPKAPK_group	2.7.11.1	MAPKAPK3	EC 2.7.11.1;MAP kinase-activated protein kinase 3;MAPK-activated protein kinase 3;MAPKAP kinase 3;MAPKAP-K3;MAPKAPK-3;MK-3;Chromosome 3p kinase;3pK
MAPK5_HUMAN	Q8IW41	MAPKAPK5	MAPKAPK5	MAPKAPK5	MAPKAPK_group	2.7.11.1	MAPKAPK5;PRAK	EC 2.7.11.1;PRAK;MAP kinase-activated protein kinase 5;MAPK-activated protein kinase 5;MAPKAP kinase 5;MAPKAP-K5;MAPKAPK-5;MK-5;MK5;p38-regulated/activated protein kinase;Isoform 2 of MAP kinase-activated protein kinase 5
MARK1_HUMAN	Q9P0L2	MARK1 (NetworKIN)	MARK1	MARK1	MARK_group	2.7.11.1;2.7.11.26	MARK1;KIAA1477;MARK	EC 2.7.11.1;EC 2.7.11.26;Serine/threonine-protein kinase MARK1;MAP/microtubule affinity-regulating kinase 1;PAR1 homolog c;Par-1c;Par1c
MARK2_HUMAN	Q7KZI7	MARK2 (PSP)		MARK2		2.7.11.1;2.7.11.26	MARK2;EMK1	EC 2.7.11.1;Serine/threonine-protein kinase MARK2;EC 2.7.11.26;ELKL motif kinase 1;EMK-1;MAP/microtubule affinity-regulating kinase 2;PAR1 homolog;PAR1 homolog b;Par-1b;Par1b;Isoform 2 of Serine/threonine-protein kinase MARK2
MARK3	P27448-3	MARK3 iso3 (PSP)		MARK3 iso3			MARK3;CTAK1;EMK2	EC 2.7.11.1;C-TAK1;cTAK1;Cdc25C-associated protein kinase 1;ELKL motif kinase 2;EMK-2;Protein kinase STK10;Ser/Thr protein kinase PAR-1;Par-1a;Serine/threonine-protein kinase p78;Isoform 2 of MAP/microtubule affinity-regulating kinase 3;Isoform 3 of MAP/microtubule affinity-regulating kinase 3;Isoform 5 of MAP/microtubule affinity-regulating kinase 3;Isoform 6 of MAP/microtubule affinity-regulating kinase 3;Isoform 7 of MAP/microtubule affinity-regulating kinase 3
MARK3_HUMAN	P27448	MARK3 (NetworKIN)	MARK3	MARK3	MARK_group	2.7.11.1	MARK3;CTAK1;EMK2	EC 2.7.11.1;MAP/microtubule affinity-regulating kinase 3;C-TAK1;cTAK1;Cdc25C-associated protein kinase 1;ELKL motif kinase 2;EMK-2;Protein kinase STK10;Ser/Thr protein kinase PAR-1;Par-1a;Serine/threonine-protein kinase p78;Isoform 4 of MAP/microtubule affinity-regulating kinase 3
MARK4_HUMAN	Q96L34	MARK_group	MARK4		MARK_group	2.7.11.1	MARK4;KIAA1860;MARKL1	2.7.11.1;MAP/microtubule affinity-regulating kinase 4;MAP/microtubule affinity-regulating kinase-like 1
MAST3_HUMAN	O60307	MAST3 (PSP)		MAST3		2.7.11.1	MAST3;KIAA0561	EC 2.7.11.1;Microtubule-associated serine/threonine-protein kinase 3
MATK_HUMAN	P42679	CTK (PSP)		CTK		2.7.10.2	MATK;CTK;HYL	EC 2.7.10.2;CHK;Megakaryocyte-associated tyrosine-protein kinase;CSK homologous kinase;Hematopoietic consensus tyrosine-lacking kinase;Protein kinase HYL;Tyrosine-protein kinase CTK
MELK_HUMAN	Q14680	Eg3 kinase	Eg3 kinase	MELK		2.7.10.2;2.7.11.1	MELK;KIAA0175	EC 2.7.11.1;EC 2.7.10.2;Maternal embryonic leucine zipper kinase;hMELK;Protein kinase Eg3;pEg3 kinase;Protein kinase PK38;hPK38;Tyrosine-protein kinase MELK;Isoform 3 of Maternal embryonic leucine zipper kinase
MERTK_HUMAN	Q12866	Mer	Mer	Mer		2.7.10.1	MERTK;MER	EC 2.7.10.1;Tyrosine-protein kinase Mer;Proto-oncogene c-Mer;Receptor tyrosine kinase MerTK
MET_HUMAN	P08581	Met	Met	Met	Met_group	2.7.10.1	MET	EC 2.7.10.1;Hepatocyte growth factor receptor;HGF receptor;HGF/SF receptor;Proto-oncogene c-Met;Scatter factor receptor;SF receptor;Tyrosine-protein kinase Met
MINK1_HUMAN	Q8N4C8	MAP4K6 (NetworKIN)	MAP4K6	MINK	MSN_group	2.7.11.1	MINK1;B55;MAP4K6;MINK;YSK2;ZC3	EC 2.7.11.1;Misshapen-like kinase 1;GCK family kinase MiNK;MAPK/ERK kinase kinase kinase 6;MEK kinase kinase 6;MEKKK 6;Misshapen/NIK-related kinase;Mitogen-activated protein kinase kinase kinase kinase 6;Isoform 4 of Misshapen-like kinase 1
MK01_HUMAN	P28482	MAPK1	MAPK1	ERK2	MAPK3_MAPK1_MAPK7_NLK_group	2.7.11.24	MAPK1;ERK2;PRKM1;PRKM2	EC 2.7.11.24;Mitogen-activated protein kinase 1;MAP kinase 1;MAPK 1;ERT1;Extracellular signal-regulated kinase 2;ERK-2;MAP kinase isoform p42;p42-MAPK;Mitogen-activated protein kinase 2;MAP kinase 2;MAPK 2
MK03_HUMAN	P27361	MAPK3	MAPK3	ERK1	MAPK3_MAPK1_MAPK7_NLK_group	2.7.11.24	MAPK3;ERK1;PRKM3	EC 2.7.11.24;Mitogen-activated protein kinase 3;MAP kinase 3;MAPK 3;ERT2;Extracellular signal-regulated kinase 1;ERK-1;Insulin-stimulated MAP2 kinase;MAP kinase isoform p44;p44-MAPK;Microtubule-associated protein 2 kinase;p44-ERK1;Isoform 3 of Mitogen-activated protein kinase 3
MK04_HUMAN	P31152	MAPK4	MAPK4			2.7.11.24	MAPK4;ERK4;PRKM4	EC 2.7.11.24;Mitogen-activated protein kinase 4;MAP kinase 4;MAPK 4;Extracellular signal-regulated kinase 4;ERK-4;MAP kinase isoform p63;p63-MAPK
MK06_HUMAN	Q16659	MAPK6	MAPK6	ERK3		2.7.11.24	MAPK6;ERK3;PRKM6	EC 2.7.11.24;Mitogen-activated protein kinase 6;MAP kinase 6;MAPK 6;Extracellular signal-regulated kinase 3;ERK-3;MAP kinase isoform p97;p97-MAPK
MK07_HUMAN	Q13164	MAPK7	MAPK7	ERK5	MAPK3_MAPK1_MAPK7_NLK_group	2.7.11.24	MAPK7;BMK1;ERK5;PRKM7	Mitogen-activated protein kinase 7;MAP kinase 7;MAPK 7;EC 2.7.11.24;Big MAP kinase 1;BMK-1;Extracellular signal-regulated kinase 5;ERK-5
MK08	P45983-2	JNK1 iso2 (PSP)		JNK1 iso2			MAPK8;JNK1;PRKM8;SAPK1;SAPK1C	2.7.11.24;MAP kinase 8;MAPK 8;JNK-46;Stress-activated protein kinase 1c;SAPK1c;Stress-activated protein kinase JNK1;c-Jun N-terminal kinase 1;Isoform 1 of Mitogen-activated protein kinase 8;Isoform 3 of Mitogen-activated protein kinase 8;Isoform 4 of Mitogen-activated protein kinase 8
MK08_HUMAN	P45983	MAPK8	MAPK8	JNK1	JNK_group	2.7.11.24	MAPK8;JNK1;PRKM8;SAPK1;SAPK1C	2.7.11.24;Mitogen-activated protein kinase 8;MAP kinase 8;MAPK 8;JNK-46;Stress-activated protein kinase 1c;SAPK1c;Stress-activated protein kinase JNK1;c-Jun N-terminal kinase 1;Isoform 5 of Mitogen-activated protein kinase 8
MK09	P45984-2	JNK2 iso2 (PSP)		JNK2 iso2			MAPK9;JNK2;PRKM9;SAPK1A	MAP kinase 9;MAPK 9;2.7.11.24;JNK-55;Stress-activated protein kinase 1a;SAPK1a;Stress-activated protein kinase JNK2;c-Jun N-terminal kinase 2;Isoform Alpha-1 of Mitogen-activated protein kinase 9;Isoform Beta-1 of Mitogen-activated protein kinase 9;Isoform Beta-2 of Mitogen-activated protein kinase 9
MK09_HUMAN	P45984	MAPK9	MAPK9	JNK2	JNK_group	2.7.11.24	MAPK9;JNK2;PRKM9;SAPK1A	Mitogen-activated protein kinase 9;MAP kinase 9;MAPK 9;2.7.11.24;JNK-55;Stress-activated protein kinase 1a;SAPK1a;Stress-activated protein kinase JNK2;c-Jun N-terminal kinase 2;Isoform 5 of Mitogen-activated protein kinase 9
MK10_HUMAN	P53779	MAPK10	MAPK10	JNK3	JNK_group	2.7.11.24	MAPK10;JNK3;JNK3A;PRKM10;SAPK1B	EC 2.7.11.24;Mitogen-activated protein kinase 10;MAP kinase 10;MAPK 10;MAP kinase p49 3F12;Stress-activated protein kinase 1b;SAPK1b;Stress-activated protein kinase JNK3;c-Jun N-terminal kinase 3
